SL,Name of the Manufacturer,Brand Name,Dosages Description,Generic Name and Strength,DAR,Type
617,Dhaka Homoeo Laboratory,Avena Sativa-Q,Liquid,FALSE,H-81-A-2,Homeopathic
618,Dhaka Homoeo Laboratory,Blatta Orientalis-Q,Liquid,FALSE,H-81-A-3,Homeopathic
619,Dhaka Homoeo Laboratory,Chinchona Officicinalis,Liquid,Chinchona Officinalis  China,H-81-A-4,Homeopathic
620,Dhaka Homoeo Laboratory,Chelidonium Majus,Liquid,FALSE,H-81-A-5,Homeopathic
621,Dhaka Homoeo Laboratory,Damiana (Tarnara),Liquid,FALSE,H-81-A-6,Homeopathic
622,Dhaka Homoeo Laboratory,Ipecac-Q,Liquid,FALSE,H-81-A-7,Homeopathic
623,Dhaka Homoeo Laboratory,Nux Vomica-Q,Liquid,FALSE,H-81-A-8,Homeopathic
624,Dhaka Homoeo Laboratory,Pulstilla-Q,Liquid,FALSE,H-81-A-9,Homeopathic
625,Dhaka Homoeo Laboratory,Thuja Occidentalis-Q,Liquid,FALSE,H-81-A-10,Homeopathic
626,G H P Homoeo Lab. (Homoeo),Alfalfa Grow,Liquid,FALSE,H-54-A-45,Homeopathic
627,G H P Homoeo Lab. (Homoeo),GP-Live Aid,Liquid,FALSE,H-54-A-47,Homeopathic
628,G H P Homoeo Lab. (Homoeo),GP-Cough Aid,Liquid,FALSE,H-54-A-46,Homeopathic
629,G H P Homoeo Lab. (Homoeo),GP-Gestro Aid,Liquid,Acid Sulph. 4x + Capsicum 3x + Nat Phos 3X + Phosphorus 5x + Robinia 2x,H-54-A-48,Homeopathic
630,G H P Homoeo Lab. (Homoeo),Piles Complex 1,Liquid,Aesculus 1X + Arnica 2X + Calceria Flourica 6X + Carddus Mar 1X + Collinsonia 1X,H-54-A-49,Homeopathic
631,G H P Homoeo Lab. (Homoeo),Asthma Complex 2,Liquid,FALSE,H-54-A-55,Homeopathic
632,G H P Homoeo Lab. (Homoeo),Anagallis Arvensis,Liquid,Anagallis Arvensis,H-13-A-52,Homeopathic
633,G H P Homoeo Lab. (Homoeo),Justicia Adhatoda,Liquid,FALSE,H-54-A-10,Homeopathic
634,G H P Homoeo Lab. (Homoeo),Justicia Adhatoda,Liquid,FALSE,H-54-A-01,Homeopathic
635,G H P Homoeo Lab. (Homoeo),Gelsemium Sempervirens,Liquid,Gelsemium Sempervirens,H-54-A-02,Homeopathic
636,G H P Homoeo Lab. (Homoeo),Hydrastis Canadensis,Liquid,FALSE,H-54-A-03,Homeopathic
637,G H P Homoeo Lab. (Homoeo),Colocynthis,Liquid,FALSE,H-54-A-04,Homeopathic
638,G H P Homoeo Lab. (Homoeo),Acid Phosphoricam,Liquid,FALSE,H-54-A-05,Homeopathic
639,G H P Homoeo Lab. (Homoeo),Aconite Napellus,Liquid,FALSE,H-54-A-06,Homeopathic
640,G H P Homoeo Lab. (Homoeo),Avena Sativea,Liquid,FALSE,H-54-A-07,Homeopathic
641,G H P Homoeo Lab. (Homoeo),Chelidonium Majus,Liquid,FALSE,H-54-A-08,Homeopathic
642,G H P Homoeo Lab. (Homoeo),Blatta Orientalis,Liquid,FALSE,H-54-A-09,Homeopathic
643,G H P Homoeo Lab. (Homoeo),Abroma Augusta Radix,Liquid,FALSE,H-54-A-11,Homeopathic
644,G H P Homoeo Lab. (Homoeo),Gossypium Herbaceum,Liquid,FALSE,H-54-A-12,Homeopathic
645,G H P Homoeo Lab. (Homoeo),Jonosia Asoka,Liquid,FALSE,H-54-A-13,Homeopathic
646,G H P Homoeo Lab. (Homoeo),Calendula Off,Liquid,FALSE,H-54-A-14,Homeopathic
647,G H P Homoeo Lab. (Homoeo),China Officinalis,Liquid,Chinchona Officinalis  China,H-54-A-15,Homeopathic
648,G H P Homoeo Lab. (Homoeo),Terminalia Arjuna,Liquid,FALSE,H-54-A-16,Homeopathic
649,G H P Homoeo Lab. (Homoeo),Nux Vomica,Liquid,FALSE,H-54-A-17,Homeopathic
650,G H P Homoeo Lab. (Homoeo),Pulsatilla,Liquid,FALSE,H-54-A-18,Homeopathic
651,G H P Homoeo Lab. (Homoeo),Syzygium Jambolanum,Liquid,FALSE,H-54-A-19,Homeopathic
652,G H P Homoeo Lab. (Homoeo),Kalmegh,Liquid,FALSE,H-54-A-20,Homeopathic
653,G H P Homoeo Lab. (Homoeo),Kreosote,Liquid,Kreosote,H-54-A-21,Homeopathic
654,G H P Homoeo Lab. (Homoeo),Alfalfa,Liquid,FALSE,H-54-A-24,Homeopathic
655,G H P Homoeo Lab. (Homoeo),Agnus Castus,Liquid,FALSE,H-54-A-25,Homeopathic
656,G H P Homoeo Lab. (Homoeo),Berberis Vulgaris,Liquid,FALSE,H-54-A-26,Homeopathic
657,G H P Homoeo Lab. (Homoeo),Carduus Marianus,Liquid,FALSE,H-54-A-27,Homeopathic
658,G H P Homoeo Lab. (Homoeo),Ceanothus Americanus,Liquid,FALSE,H-54-A-,Homeopathic
659,G H P Homoeo Lab. (Homoeo),Crategus Oxyacantha,Liquid,FALSE,H-54-A-29,Homeopathic
660,G H P Homoeo Lab. (Homoeo),Rhus Toxicodendron,Liquid,FALSE,H-54-A-,Homeopathic
661,G H P Homoeo Lab. (Homoeo),Amloki,Liquid,FALSE,H-54-A-31,Homeopathic
662,G H P Homoeo Lab. (Homoeo),Echinacea Angustifolia,Liquid,FALSE,H-54-A-32,Homeopathic
663,G H P Homoeo Lab. (Homoeo),Ginseng,Liquid,FALSE,H-54-A-33,Homeopathic
664,G H P Homoeo Lab. (Homoeo),Hydrocotyle Asiatica,Liquid,FALSE,H-54-A-,Homeopathic
665,G H P Homoeo Lab. (Homoeo),Hamamelis Virginica,Liquid,FALSE,H-54-A-35,Homeopathic
666,G H P Homoeo Lab. (Homoeo),Lycopodium Clavatum,Liquid,FALSE,H-54-A-36,Homeopathic
667,G H P Homoeo Lab. (Homoeo),Rauwolfia Serpentina,Liquid,FALSE,H-54-A-37,Homeopathic
668,G H P Homoeo Lab. (Homoeo),Secale Cornutum,Liquid,FALSE,H-54-A-38,Homeopathic
669,G H P Homoeo Lab. (Homoeo),Damiana,Liquid,FALSE,H-54-A-39,Homeopathic
670,G H P Homoeo Lab. (Homoeo),Sabal Serrulata,Liquid,FALSE,H-54-A-40,Homeopathic
671,G H P Homoeo Lab. (Homoeo),Sarsaparilla,Liquid,FALSE,H-54-A-41,Homeopathic
672,G H P Homoeo Lab. (Homoeo),Salix Nigra,Liquid,FALSE,H-54-A-42,Homeopathic
673,G H P Homoeo Lab. (Homoeo),Thuja Occidentalis,Liquid,FALSE,H-54-A-43,Homeopathic
674,G H P Homoeo Lab. (Homoeo),Urtica Urens,Liquid,FALSE,H-54-A-44,Homeopathic
675,Hahnemann (Homoeo) Pharmaceutical Co.,Pulsatilla,Liquid,FALSE,H-64-A-001,Homeopathic
676,Hahnemann (Homoeo) Pharmaceutical Co.,Secale Corntum,Liquid,FALSE,H-64-A-002,Homeopathic
677,Hahnemann (Homoeo) Pharmaceutical Co.,Teucrium Marumverum,Liquid,FALSE,H-64-A-003,Homeopathic
678,Hahnemann (Homoeo) Pharmaceutical Co.,Aconite Napellus,Liquid,FALSE,H-64-A-004,Homeopathic
679,Hahnemann (Homoeo) Pharmaceutical Co.,Cantharis,Liquid,FALSE,H-64-A-005,Homeopathic
680,Hahnemann (Homoeo) Pharmaceutical Co.,Kreosotum,Liquid,FALSE,H-64-A-006,Homeopathic
681,Hahnemann (Homoeo) Pharmaceutical Co.,Plantago Major,Liquid,FALSE,H-64-A-007,Homeopathic
682,Hahnemann (Homoeo) Pharmaceutical Co.,Acid Phosphoricum,Liquid,FALSE,H-64-A-008,Homeopathic
683,Hahnemann (Homoeo) Pharmaceutical Co.,Arnica Montana,Liquid,FALSE,H-64-A-009,Homeopathic
684,Hahnemann (Homoeo) Pharmaceutical Co.,Calendula Officinalis,Liquid,FALSE,H-64-A-010,Homeopathic
685,Hahnemann (Homoeo) Pharmaceutical Co.,Ceanothus Americanus,Liquid,FALSE,H-64-A-011,Homeopathic
686,Hahnemann (Homoeo) Pharmaceutical Co.,Cinchona Officinalis (China),Liquid,FALSE,H-64-A-012,Homeopathic
687,Hahnemann (Homoeo) Pharmaceutical Co.,Hydrastis Canadinsis,Liquid,FALSE,H-64-A-014,Homeopathic
688,Hahnemann (Homoeo) Pharmaceutical Co.,Nux Vomica,Liquid,FALSE,H-64-A-015,Homeopathic
689,Hahnemann (Homoeo) Pharmaceutical Co.,Euphrasia Officinalis,Liquid,FALSE,H-64-A-016,Homeopathic
690,Hahnemann (Homoeo) Pharmaceutical Co.,Syzygium Jambolanum,Liquid,FALSE,H-64-A-017,Homeopathic
691,Hahnemann (Homoeo) Pharmaceutical Co.,Terminalia Arjuna,Liquid,FALSE,H-64-A-018,Homeopathic
692,Hahnemann (Homoeo) Pharmaceutical Co.,Avena Sativa,Liquid,FALSE,H-64-A-019,Homeopathic
693,Hahnemann (Homoeo) Pharmaceutical Co.,Kalmegh,Liquid,FALSE,H-64-A-020,Homeopathic
694,Hahnemann (Homoeo) Pharmaceutical Co.,Medicago Sativa (Alfalfa),Liquid,FALSE,H-64-A-021,Homeopathic
695,Hahnemann (Homoeo) Pharmaceutical Co.,Alstonia Scholaris,Liquid,FALSE,H-64-A-022,Homeopathic
696,Hahnemann (Homoeo) Pharmaceutical Co.,Sepia,Liquid,FALSE,H-64-A-023,Homeopathic
697,Hahnemann (Homoeo) Pharmaceutical Co.,Holarrhena Antidysentrica,Liquid,FALSE,H-64-A-024,Homeopathic
698,Hahnemann (Homoeo) Pharmaceutical Co.,Jonosia Asoka,Liquid,FALSE,H-64-A-025,Homeopathic
699,Hahnemann (Homoeo) Pharmaceutical Co.,Justicia Adhatoda,Liquid,FALSE,H-64-A-026,Homeopathic
700,Hahnemann (Homoeo) Pharmaceutical Co.,Agnus Castus,Liquid,FALSE,H-64-A-027,Homeopathic
701,Hahnemann (Homoeo) Pharmaceutical Co.,Amloki,Liquid,FALSE,H-64-A-028,Homeopathic
702,Hahnemann (Homoeo) Pharmaceutical Co.,Anacardium Orientale,Liquid,FALSE,H-64-A-029,Homeopathic
703,Hahnemann (Homoeo) Pharmaceutical Co.,Asvagandha,Liquid,FALSE,H-64-A-030,Homeopathic
704,Hahnemann (Homoeo) Pharmaceutical Co.,Belladonna,Liquid,FALSE,H-64-A-031,Homeopathic
705,Hahnemann (Homoeo) Pharmaceutical Co.,Blatta Orientalis,Liquid,FALSE,H-64-A-032,Homeopathic
706,Hahnemann (Homoeo) Pharmaceutical Co.,Borax (Powder),Liquid,FALSE,H-64-A-033,Homeopathic
707,Hahnemann (Homoeo) Pharmaceutical Co.,Bryonia Albaum,Liquid,FALSE,H-64-A-034,Homeopathic
708,Hahnemann (Homoeo) Pharmaceutical Co.,Capcicum Annum,Liquid,FALSE,H-64-A-035,Homeopathic
709,Hahnemann (Homoeo) Pharmaceutical Co.,Carica Papaya,Liquid,FALSE,H-64-A-036,Homeopathic
710,Hahnemann (Homoeo) Pharmaceutical Co.,Cassia Sophera,Liquid,FALSE,H-64-A-037,Homeopathic
711,Hahnemann (Homoeo) Pharmaceutical Co.,Chelidonium Majus,Liquid,FALSE,H-64-A-038,Homeopathic
712,Hahnemann (Homoeo) Pharmaceutical Co.,Damiana,Liquid,FALSE,H-64-A-039,Homeopathic
713,Hahnemann (Homoeo) Pharmaceutical Co.,Desmodium Gangeticum,Liquid,FALSE,H-64-A-040,Homeopathic
714,Hahnemann (Homoeo) Pharmaceutical Co.,Ginseng,Liquid,FALSE,H-64-A-041,Homeopathic
715,Hahnemann (Homoeo) Pharmaceutical Co.,Graphites,Liquid,Graphites 3X,H-64-A-042,Homeopathic
716,Hahnemann (Homoeo) Pharmaceutical Co.,Hydrocotyle Asiatic,Liquid,FALSE,H-64-A-043,Homeopathic
717,Hahnemann (Homoeo) Pharmaceutical Co.,Mullein (Verbascum Thapasus),Liquid,FALSE,H-64-A-044,Homeopathic
718,Hahnemann (Homoeo) Pharmaceutical Co.,Ocimum Sanctum,Liquid,FALSE,H-64-A-045,Homeopathic
719,Hahnemann (Homoeo) Pharmaceutical Co.,Phytolacca Decandra,Liquid,FALSE,H-64-A-046,Homeopathic
720,Hahnemann (Homoeo) Pharmaceutical Co.,Rauwolfia Serpentina,Liquid,FALSE,H-64-A-047,Homeopathic
721,Hahnemann (Homoeo) Pharmaceutical Co.,Salix Nigra,Liquid,FALSE,H-64-A-048,Homeopathic
722,Hahnemann (Homoeo) Pharmaceutical Co.,Sabal Serrulata,Liquid,FALSE,H-64-A-049,Homeopathic
723,Hahnemann (Homoeo) Pharmaceutical Co.,Santonine 1X,Tablet,Santonine 1X,H-64-A-050,Homeopathic
724,Hahnemann (Homoeo) Pharmaceutical Co.,Sarsaparilla,Liquid,FALSE,H-64-A-051,Homeopathic
725,Hahnemann (Homoeo) Pharmaceutical Co.,Hepco Leucorrhoea,Liquid,Alumina 6C + Borax 6C + Creosptum 6X + Pulsatilla 6X + Sepia 6C,H-64-A-052,Homeopathic
726,Hahnemann (Homoeo) Pharmaceutical Co.,Hepco Babya Vita,Liquid,Avena Sat 4X + Calcium Carbonate 30 + Carica pap 4X + Chamomilla 4X + Cinamon 3X + Illicum Anisatum 4X + Zingiber off 6X,H-64-A-53,Homeopathic
727,Hahnemann (Homoeo) Pharmaceutical Co.,Hepco Brainton,Tablet,Cal Phos 3X + Ferrum Phos 3X + Kali Phos 3X + Magnesium Phosphate + Nat Phos 3X,H-64-A-54,Homeopathic
728,Hahnemann (Homoeo) Pharmaceutical Co.,Hepco Asthmanil,Tablet,FALSE,H-64-A-55,Homeopathic
729,Hahnemann (Homoeo) Pharmaceutical Co.,Hepco Vita,Tablet,FALSE,H-64-A-57,Homeopathic
730,Hahnemann (Homoeo) Pharmaceutical Co.,Hepco Ginseng,Solid,Acid Phos 4X + Agnus Cast 4X + Ambra Grisea 4X + Cinchona Off 4X + Conium 4X + Damiana 4X + Moschus 4X + Nux Vom 4X + Sabal Ser 4X + Yohimbinum 4X,H-64-A-58,Homeopathic
731,Hahnemann (Homoeo) Pharmaceutical Co.,Hepcolivergin,Drops,Andrographis Peniculata-18X + Baptisia + Bita Vulj-6 + Carduus Mar. 4x + Chelidonium-2X + Cianothus-3X + Echinacea Purf 3X,H-64-A-60,Homeopathic
732,Hahnemann (Homoeo) Pharmaceutical Co.,Hepco Bloodgin,Drops,Acid Formic 5X + Acid Tart 4X + Cobalt Nit 5X + Cuprum Aset 5X + Ferrum Phos 5X + Magnum Acet 5X + Mg Borocytrate 5X + Zinc Sulphate 5X,H-64-A-61,Homeopathic
733,Hahnemann (Homoeo) Pharmaceutical Co.,Hepco Digestol,Drops,Carduus Mar. 4x + Chelidonium Maj. 5x + Fumaria 2x + Magnesium Sulph. 4x + Ptelea Trifoliata 3x + Sulphur 7x,H-64-A-62,Homeopathic
734,Hahnemann (Homoeo) Pharmaceutical Co.,Hepco Gastol,Drops,Acid Sulph. 4x + Capsicum 3x + Nat Phos 3X + Phosphorus 5x + Robinia 2x,H-64-A-63,Homeopathic
735,Hahnemann (Homoeo) Pharmaceutical Co.,Hepco Diabacure,Tablet,Cal Phos 3X + Ferrum Phos 3X + Kali Phos 3X + Nat Phos 3X + Nat Sulph 3X,H-64-A-64,Homeopathic
736,Hahnemann (Homoeo) Pharmaceutical Co.,Hepco Heartgin,Drops,FALSE,H-64-A-65,Homeopathic
737,Hahnemann (Homoeo) Pharmaceutical Co.,Hepco Fevergin,Liquid,FALSE,H-64-A-66,Homeopathic
738,Hahnemann (Homoeo) Pharmaceutical Co.,Hepco Alfalfaton,Drops,FALSE,H-64-A-67,Homeopathic
739,Hahnemann (Homoeo) Pharmaceutical Co.,Hepco Karna Cure,Drops,Succus Verbascum,H-64-A-68,Homeopathic
740,Hahnemann (Homoeo) Pharmaceutical Co.,Nilcough,Drops,FALSE,H-64-A-69,Homeopathic
741,Hahnemann (Homoeo) Pharmaceutical Co.,Hepco Sexuvit,Drops,FALSE,H-64-A-70,Homeopathic
742,Hahnemann (Homoeo) Pharmaceutical Co.,Calcarea Sulphurica,Tablet,Calcarea Sulphurica,H-64-A-72,Homeopathic
743,Hahnemann (Homoeo) Pharmaceutical Co.,Ferrum Phosphoricum,Tablet,Ferrum Phosphoricum,H-64-A-73,Homeopathic
744,Hahnemann (Homoeo) Pharmaceutical Co.,kali Muriat,Tablet,Kali Muriaticum,H-64-A-74,Homeopathic
745,Hahnemann (Homoeo) Pharmaceutical Co.,Calcarea Flourica,Tablet,Calcarea Fluorica,H-64-A-75,Homeopathic
746,Hahnemann (Homoeo) Pharmaceutical Co.,Calcarea phospho,Tablet,Calcarea Phosphorica,H-64-A-76,Homeopathic
747,Hahnemann (Homoeo) Pharmaceutical Co.,Kali Phosphoricum,Tablet,Kali Phosphoricum,H-64-A-77,Homeopathic
748,Hahnemann (Homoeo) Pharmaceutical Co.,Kali Sulphuricum,Tablet,Kali Sulphuricum,H-64-A-78,Homeopathic
749,Hahnemann (Homoeo) Pharmaceutical Co.,Magnesia Phosphorica,Tablet,Magnesia Phosphorica,H-64-A-79,Homeopathic
750,Hahnemann (Homoeo) Pharmaceutical Co.,Natrum Phosphorica,Tablet,Natrum Phosphoricum,H-64-A-80,Homeopathic
751,Hahnemann (Homoeo) Pharmaceutical Co.,Natrum Muriaticum,Tablet,Natrum Muriaticum,H-64-A-81,Homeopathic
752,Hahnemann (Homoeo) Pharmaceutical Co.,Natrum Sulphuricum,Tablet,Natrum Sulphuricum,H-64-A-82,Homeopathic
753,Hahnemann (Homoeo) Pharmaceutical Co.,Silicea,Tablet,Silicea,H-64-A-83,Homeopathic
754,Hahnemann (Homoeo) Pharmaceutical Co.,Hekeal Lava,Tablet,Hekla Lava/Hecla Lava,H-64-A-84,Homeopathic
755,Hahnemann (Homoeo) Pharmaceutical Co.,Selenium,Tablet,Selenium,H-64-A-85,Homeopathic
756,Hahnemann (Homoeo) Pharmaceutical Co.,Titanium,Tablet,Titanium,H-64-A-86,Homeopathic
757,Hahnemann (Homoeo) Pharmaceutical Co.,Aurum Muriaticum Natronatum,Tablet,Aurum Muriaticum Natronatum 3X,H-64-A-87,Homeopathic
758,Hahnemann (Homoeo) Pharmaceutical Co.,Uranium Nitricum,Tablet,Uranium Nitricum1X-6X,H-64-A-88,Homeopathic
759,Hahnemann (Homoeo) Pharmaceutical Co.,Hepar Sulphur,Tablet,Hepar Sulphur,H-64-A-90,Homeopathic
760,Hahnemann (Homoeo) Pharmaceutical Co.,Cholesterinum,Tablet,Cholesterinum 1X-6X,H-64-A-89,Homeopathic
761,Hahnemann (Homoeo) Pharmaceutical Co.,Arsenium Sulphuratum Flavum,Tablet,Arsenicum Sulphuratum Flavum 3X,H-64-A-91,Homeopathic
762,Hahnemann (Homoeo) Pharmaceutical Co.,Carbo Veg,Tablet,Carbo Vagetabilis,H-64-A-92,Homeopathic
763,Hahnemann (Homoeo) Pharmaceutical Co.,Oleum Jercoris,Tablet,Oleum Jecoris 1X-6X,H-64-A-93,Homeopathic
764,Hahnemann (Homoeo) Pharmaceutical Co.,Kali Bechromicum,Liquid,Kali Bechromicum 1X-2X,H-64-A-94,Homeopathic
765,Hahnemann (Homoeo) Pharmaceutical Co.,Sangunrria Nit,Tablet,Sanguinaria Nit 3x,H-64-A-95,Homeopathic
766,Helal & Co. Homoeo Lab. Ltd.,Apis Mellifica,Liquid,FALSE,H-16-A-1,Homeopathic
767,Helal & Co. Homoeo Lab. Ltd.,Hydratis Can.,Liquid,FALSE,H-16-A-3,Homeopathic
768,Helal & Co. Homoeo Lab. Ltd.,Crataegus Ox.,Liquid,FALSE,H-16-A-4,Homeopathic
769,Helal & Co. Homoeo Lab. Ltd.,Berberis Vulgaris,Liquid,FALSE,H-16-A-5,Homeopathic
770,Helal & Co. Homoeo Lab. Ltd.,Calendula Off.,Liquid,FALSE,H-16-A-6,Homeopathic
771,Helal & Co. Homoeo Lab. Ltd.,Avena Sativa,Liquid,FALSE,H-16-A-7,Homeopathic
772,Helal & Co. Homoeo Lab. Ltd.,Chelidonium Majus,Liquid,FALSE,H-16-A-8,Homeopathic
773,Helal & Co. Homoeo Lab. Ltd.,Kreosotum,Liquid,Kreosote,H-16-A-2,Homeopathic
774,J. Buksh & Co. Ltd,Aconite Napellus Ø,Liquid,FALSE,H-64-A-1,Homeopathic
775,J. Buksh & Co. Ltd,Globules,Tablet,Globules,H-64-A-25,Homeopathic
776,J. Buksh & Co. Ltd,Santonine,Tablet,Santonine 1X,H-64-A-33,Homeopathic
777,J. Buksh & Co. Ltd,Coughrex,Syrup,FALSE,H-64-A-71,Homeopathic
778,J. Buksh & Co. Ltd,Babylin,Syrup,FALSE,H-64-A-73,Homeopathic
779,J. Buksh & Co. Ltd,Vitabuksh,Tablet,Cal Phos 3X + Ferrum Phos 3X + Kali Phos 3X + Magnesium Phosphate + Nat Phos 3X,H-64-A-84,Homeopathic
780,J. Buksh & Co. Ltd,Nux Vomica-Q,Liquid,FALSE,H-64-A-2,Homeopathic
781,J. Buksh & Co. Ltd,Medicago Sativa (Alfalfa)-Q,Liquid,FALSE,H-64-A-3,Homeopathic
782,J. Buksh & Co. Ltd,Cinchona Officinalis (China),Liquid,FALSE,H-64-A-4,Homeopathic
783,J. Buksh & Co. Ltd,Syzygium Jam-Q,Liquid,FALSE,H-64-A-5,Homeopathic
784,J. Buksh & Co. Ltd,Avena Sativa-Q,Liquid,FALSE,H-64-A-6,Homeopathic
785,J. Buksh & Co. Ltd,Justicia A-Q,Liquid,FALSE,H-64-A-7,Homeopathic
786,J. Buksh & Co. Ltd,Arjuna-Q,Liquid,Arjuna,H-64-A-8,Homeopathic
787,J. Buksh & Co. Ltd,Asoka-Q,Liquid,Asoka,H-64-A-9,Homeopathic
788,J. Buksh & Co. Ltd,Amloki-Q,Liquid,FALSE,H-64-A-10,Homeopathic
789,J. Buksh & Co. Ltd,Andraographics(Kalmegh),Liquid,FALSE,H-64-A-11,Homeopathic
790,J. Buksh & Co. Ltd,Pulsatilla-Q,Liquid,FALSE,H-64-A-12,Homeopathic
791,J. Buksh & Co. Ltd,Mullein-Q,Liquid,FALSE,H-64-A-13,Homeopathic
792,J. Buksh & Co. Ltd,Euphrasia-Q,Liquid,FALSE,H-64-A-14,Homeopathic
793,J. Buksh & Co. Ltd,Ginseng-Q,Liquid,Ginseng,H-64-A-15,Homeopathic
794,J. Buksh & Co. Ltd,Holarrhena-Q,Liquid,FALSE,H-64-A-16,Homeopathic
795,J. Buksh & Co. Ltd,Borax-Q,Liquid,FALSE,H-64-A-17,Homeopathic
796,J. Buksh & Co. Ltd,Capsicum-Q,Liquid,FALSE,H-64-A-18,Homeopathic
797,J. Buksh & Co. Ltd,Hydrastis Can-Q,Liquid,FALSE,H-64-A-19,Homeopathic
798,J. Buksh & Co. Ltd,Chelidonium-Q,Liquid,FALSE,H-64-A-20,Homeopathic
799,J. Buksh & Co. Ltd,Thuja Occ-Q,Liquid,FALSE,H-64-A-21,Homeopathic
800,J. Buksh & Co. Ltd,Aswagandha-Q,Liquid,Aswagandha,H-64-A-22,Homeopathic
801,J. Buksh & Co. Ltd,Blatta Ori-Q,Liquid,FALSE,H-64-A-23,Homeopathic
802,J. Buksh & Co. Ltd,Carica Papaya-Q,Liquid,FALSE,H-64-A-24,Homeopathic
803,J. Buksh & Co. Ltd,Colocynthis-Q,Liquid,FALSE,H-64-A-41,Homeopathic
804,J. Buksh & Co. Ltd,Ipecacuanha-Q,Liquid,FALSE,H-64-A-42,Homeopathic
805,J. Buksh & Co. Ltd,Arnica Montana-Q,Liquid,FALSE,H-64-A-43,Homeopathic
806,J. Buksh & Co. Ltd,Aralia Race-Q,Liquid,FALSE,H-64-A-44,Homeopathic
807,J. Buksh & Co. Ltd,Plantago Maj-Q,Liquid,FALSE,H-64-A-45,Homeopathic
808,J. Buksh & Co. Ltd,Ocimum Sanctum-Q,Liquid,FALSE,H-64-A-46,Homeopathic
809,J. Buksh & Co. Ltd,Sabal Ser-Q,Liquid,FALSE,H-64-A-47,Homeopathic
810,J. Buksh & Co. Ltd,Echinacea-Q,Liquid,FALSE,H-64-A-48,Homeopathic
811,J. Buksh & Co. Ltd,Creosotum-Q,Liquid,Creosotum,H-64-A-49,Homeopathic
812,J. Buksh & Co. Ltd,Rauwolfia-Q,Liquid,FALSE,H-64-A-50,Homeopathic
813,J. Buksh & Co. Ltd,Yuhimbinum-Q,Liquid,Yohimbinum,H-64-A-51,Homeopathic
814,J. Buksh & Co. Ltd,Podophyllum-Q,Liquid,FALSE,H-64-A-52,Homeopathic
815,J. Buksh & Co. Ltd,Rhus Tox-Q,Liquid,FALSE,H-64-A-53,Homeopathic
816,J. Buksh & Co. Ltd,Uranium Nitricum-Q,Liquid,FALSE,H-64-A-54,Homeopathic
817,J. Buksh & Co. Ltd,Agnus Castus-Q,Liquid,FALSE,H-64-A-68,Homeopathic
818,J. Buksh & Co. Ltd,Cantharis-Q,Liquid,FALSE,H-64-A-69,Homeopathic
819,J. Buksh & Co. Ltd,Kali Phosphoricum,Tablet,Kali Phosphoricum,H-64-A-26,Homeopathic
820,J. Buksh & Co. Ltd,Natrum Phosphoricum,Tablet,Natrum Phosphoricum,H-64-A-27,Homeopathic
821,J. Buksh & Co. Ltd,Calcarea Phosphoricum,Tablet,Calcarea Phosphorica,H-64-A-28,Homeopathic
822,J. Buksh & Co. Ltd,Ferrum Phosphoricum,Tablet,Ferrum Phosphoricum,H-64-A-29,Homeopathic
823,J. Buksh & Co. Ltd,Calcarea Fluorica,Tablet,Calcarea Fluorica,H-64-A-30,Homeopathic
824,J. Buksh & Co. Ltd,Magnesia Phosphoricum,Tablet,Magnesia Phosphorica,H-64-A-31,Homeopathic
825,J. Buksh & Co. Ltd,Silicea,Tablet,Silicea,H-64-A-32,Homeopathic
826,J. Buksh & Co. Ltd,Kali Sulphuricum,Tablet,Kali Sulphuricum,H-64-A-38,Homeopathic
827,J. Buksh & Co. Ltd,Natrum Sulphuricum,Tablet,Natrum Sulphuricum,H-64-A-39,Homeopathic
828,J. Buksh & Co. Ltd,Natrum Muriaticum,Tablet,Natrum Muriaticum,H-64-A-40,Homeopathic
829,J. Buksh & Co. Ltd,Graphaties,Tablet,Graphites,H-64-A-55,Homeopathic
830,J. Buksh & Co. Ltd,Calcarea Carb,Tablet,Calcarea Carb,H-64-A-56,Homeopathic
831,J. Buksh & Co. Ltd,Titanium,Tablet,Titanium,H-64-A-57,Homeopathic
832,J. Buksh & Co. Ltd,Antimonium Tart,Tablet,Antimonium Tart,H-64-A-58,Homeopathic
833,J. Buksh & Co. Ltd,Arsenium Sulph,Tablet,Arsenicum Sulphuratum Flavum 3X,H-64-A-59,Homeopathic
834,J. Buksh & Co. Ltd,Calcarea Sulphurica,Tablet,Calcarea Sulphurica,H-64-A-65,Homeopathic
835,J. Buksh & Co. Ltd,Hecla Lava,Tablet,Hekla Lava/Hecla Lava,H-64-A-66,Homeopathic
836,J. Buksh & Co. Ltd,Selenium,Tablet,Selenium,H-64-A-67,Homeopathic
837,J. Buksh & Co. Ltd,Heper Sulph,Tablet,Heper Sulphurics Calcareum,H-64-A-34,Homeopathic
838,J. Buksh & Co. Ltd,Marc Sol,Tablet,Marc Sol,H-64-A-35,Homeopathic
839,J. Buksh & Co. Ltd,Oleum Jac,Tablet,Oleum Jac 3X,H-64-A-36,Homeopathic
840,J. Buksh & Co. Ltd,Cantharis,Ointment,FALSE,H-64-A-60,Homeopathic
841,J. Buksh & Co. Ltd,Calendula,Ointment,FALSE,H-64-A-61,Homeopathic
842,J. Buksh & Co. Ltd,Aesculus Hipp,Ointment,Aesculus Hipp,H-64-A-62,Homeopathic
