SL,Name of the Manufacturer,Brand Name,Dosages Description,Generic Name and Strength,DAR,Type
1028,Bego Pharmaceuticals (Ay),Ganora,Powder,Nagbaladya Churna,AY-93-A-034,Ayurvedic
1029,Bego Pharmaceuticals (Ay),Sage Cleanser,Hand Sanitizer,Sage Cleanser,AY-93-A-050,Ayurvedic
1030,Bego Pharmaceuticals (Ay),Sumatra Benzoin,Hand Sanitizer,Sumatra Benzoin,AY-93-A-51,Ayurvedic
1031,Bego Pharmaceuticals (Ay),Banian Cardial,Liquid,Ashokarista,AY-93-A-001,Ayurvedic
1032,Bego Pharmaceuticals (Ay),Vitam,Liquid,Balarista,AY-93-A-002,Ayurvedic
1033,Bego Pharmaceuticals (Ay),Asmotone,Liquid,Kanakasav,AY-93-A-003,Ayurvedic
1034,Bego Pharmaceuticals (Ay),Livotone,Liquid,Rohitakarista,AY-93-A-004,Ayurvedic
1035,Bego Pharmaceuticals (Ay),Baby Life,Liquid,Aravindasav,AY-93-A-005,Ayurvedic
1036,Bego Pharmaceuticals (Ay),Fevrex,Liquid,Parpatadyarista,AY-93-A-006,Ayurvedic
1037,Bego Pharmaceuticals (Ay),Rheodyne,Liquid,Kutajarista,AY-93-A-007,Ayurvedic
1038,Bego Pharmaceuticals (Ay),Punarnavasav,Liquid,Punarnavasav,AY-93-A-008,Ayurvedic
1039,Bego Pharmaceuticals (Ay),Vitis,Liquid,Draksharista,AY-93-A-009,Ayurvedic
1040,Bego Pharmaceuticals (Ay),Kalomegha Compound,Liquid,Kalameghasav,AY-93-A-010,Ayurvedic
1041,Bego Pharmaceuticals (Ay),Begotone,Liquid,Dasamularista,AY-93-A-011,Ayurvedic
1042,Bego Pharmaceuticals (Ay),B-Zyme,Liquid,Mustakarista,AY-93-A-012,Ayurvedic
1043,Bego Pharmaceuticals (Ay),B-Alkuly,Liquid,Chandanasav,AY-93-A-013,Ayurvedic
1044,Bego Pharmaceuticals (Ay),Viron,Liquid,Louhasav,AY-93-A-014,Ayurvedic
1045,Bego Pharmaceuticals (Ay),Vigora,Liquid,Upasam,AY-93-A-015,Ayurvedic
1046,Bego Pharmaceuticals (Ay),Hormo-B,Liquid,Aswagandharista,AY-93-A-016,Ayurvedic
1047,Bego Pharmaceuticals (Ay),B-Cough,Liquid,Vasakarista / Vasakasav,AY-93-A-017,Ayurvedic
1048,Bego Pharmaceuticals (Ay),Brain Plus,Capsule,Jogendra Ras,AY-93-A-018,Ayurvedic
1049,Bego Pharmaceuticals (Ay),Vigo Power,Capsule,Joubansatadal,AY-93-A-019,Ayurvedic
1050,Bego Pharmaceuticals (Ay),Vigora,Capsule,Kamini Vidravan Ras,AY-93-A-020,Ayurvedic
1051,Bego Pharmaceuticals (Ay),Hormo-B,Capsule,Brihat Chandrodaya Makardwaja,AY-93-A-021,Ayurvedic
1052,Bego Pharmaceuticals (Ay),Vigo Gold,Capsule,Brihat Purnachandra Ras,AY-93-A-022,Ayurvedic
1053,Bego Pharmaceuticals (Ay),B-Pain,Capsule,Agnitundi Bati,AY-93-A-023,Ayurvedic
1054,Bego Pharmaceuticals (Ay),Anizella,Capsule,Allium Sativum,AY-93-A-024,Ayurvedic
1055,Bengal Ayurvedic Laboratories (Ay),Heart Cheach,Liquid,Arjunarista,AY-018-A-001,Ayurvedic
1056,Bengal Ayurvedic Laboratories (Ay),Liko-4,Liquid,Ashokarista,AY-018-A-002,Ayurvedic
1057,Bengal Ayurvedic Laboratories (Ay),Bimul-10,Liquid,Dasamularista,AY-018-A-003,Ayurvedic
1058,Bengal Ayurvedic Laboratories (Ay),Kaliva,Liquid,Kalameghasav,AY-018-A-004,Ayurvedic
1059,Bengal Ayurvedic Laboratories (Ay),Beladi Plus,Liquid,Louhasav,AY-018-A-005,Ayurvedic
1060,Bengal Ayurvedic Laboratories (Ay),Bengyme,Liquid,Mustakarista,AY-018-A-006,Ayurvedic
1061,Bengal Ayurvedic Laboratories (Ay),Kafrin-B,Liquid,Vasakarista / Vasakasav,AY-018-A-007,Ayurvedic
1062,Bengal Ayurvedic Laboratories (Ay),Livson,Liquid,Rohitakarista,AY-018-A-008,Ayurvedic
1063,Bengal Ayurvedic Laboratories (Ay),Leucorina,Liquid,Patrangasav,AY-018-A-009,Ayurvedic
1064,Bengal Ayurvedic Laboratories (Ay),Nutronic-B,Liquid,Balarista,AY-018-A-010,Ayurvedic
1065,Bengal Ayurvedic Laboratories (Ay),Vhigo-B,Liquid,Sanjivani Rasayan,AY-018-A-011,Ayurvedic
1066,Bengal Ayurvedic Laboratories (Ay),Bengarin,Liquid,Chandanasav,AY-018-A-012,Ayurvedic
1067,Bengal Ayurvedic Laboratories (Ay),Beladil,Liquid,Kutajarista,AY-018-A-013,Ayurvedic
1068,Best One Ayurvedic,Beoderma,Liquid,Saribadyarista,AY-142-A-016,Ayurvedic
1069,Best One Ayurvedic,Best One Basok,Liquid,Vasakarista / Vasakasav,AY-142-A-017,Ayurvedic
1070,Best One Ayurvedic,Menofresh,Liquid,Ashokarista,AY-142-A-018,Ayurvedic
1071,Best One Ayurvedic,Best One Mehobinas,Liquid,Mehabinash,AY-142-A-019,Ayurvedic
1072,Best One Ayurvedic,Coroton,Liquid,Arjunarista,AY-142-A-020,Ayurvedic
1073,Best One Ayurvedic,Best One Avoyarista,Liquid,Abhayarista,AY-142-A-021,Ayurvedic
1074,Best One Ayurvedic,Beorin,Liquid,Aravindasav,AY-142-A-022,Ayurvedic
1075,Best One Ayurvedic,Beogas,Liquid,Amalaki Rasayan,AY-142-A-023,Ayurvedic
1076,Best One Ayurvedic,Beo-ron,Liquid,Ashwagandha,AY-142-A-024,Ayurvedic
1077,Best One Ayurvedic,Hepabeon,Liquid,Rohitakarista,AY-142-A-025,Ayurvedic
1078,Best One Ayurvedic,Beo-Cal,Capsule,Capsicum 500 mg,AY-142-A-026,Ayurvedic
1079,Best One Ayurvedic,Skibeon,Capsule,Nimbadi Churna,AY-142-A-027,Ayurvedic
1080,Best One Ayurvedic,Becoral,Capsule,Pradarantak Louha,AY-142-A-007,Ayurvedic
1081,Best One Ayurvedic,Beo-Met,Capsule,Manmathavra Ras,AY-142-A-008,Ayurvedic
1082,Best One Ayurvedic,Beo-dal,Capsule,Joubansatadal,AY-142-A-009,Ayurvedic
1083,Best One Ayurvedic,Reubeon,Capsule,Brihat Vat Gajangkush,AY-142-A-010,Ayurvedic
1084,Best One Ayurvedic,Vigodil,Liquid,Bhimras,AY-142-A-011,Ayurvedic
1085,Best One Ayurvedic,Renabeon,Liquid,Chandanasav,AY-142-A-012,Ayurvedic
1086,Best One Ayurvedic,Libion,Capsule,Ratibilas Bati,AY-142-A-013,Ayurvedic
1087,Best One Ayurvedic,Siacon,Liquid,Prasarani Sandhan,AY-142-A-014,Ayurvedic
1088,Best One Ayurvedic,Bestone Ginseng,Liquid,Ginseng,AY-142-A-015,Ayurvedic
1089,Best One Ayurvedic,Leucobion,Syrup,Patrangasav,AY-142-A-001,Ayurvedic
1090,Best One Ayurvedic,Beosin,Syrup,Kutajarista,AY-142-A-3,Ayurvedic
1091,Best One Ayurvedic,Beodryl,Syrup,Draksharista,AY-142-A-004,Ayurvedic
1092,Best One Ayurvedic,Beoplex,Syrup,Balarista,AY-142-A-006,Ayurvedic
1093,Best One Ayurvedic,Beoten,Syrup,Dasamularista,AY-142-A-005,Ayurvedic
1094,Best One Ayurvedic,Beodex,Syrup,Mustakarista,AY-142-A-002,Ayurvedic
1095,Best One Ayurvedic,Dia-one,Capsule,Rehmania,AY-18-A-028,Ayurvedic
1096,Best One Ayurvedic,Amlabeon,Capsule,Amlapittantak Churna,AY-18-A-029,Ayurvedic
1097,Best One Ayurvedic,Bico-One,Capsule,Ginger,AY-18-A-030,Ayurvedic
1098,Best One Ayurvedic,Urap-Tin,Capsule,Saw Palmetto,AY-18-A-031,Ayurvedic
1099,Best One Ayurvedic,Chiratabeon,Capsule,Chirata,AY-18-A-032,Ayurvedic
1100,Best One Ayurvedic,Pilobeon,Capsule,Arshahara Bati,AY-18-A-033,Ayurvedic
1101,Best One Ayurvedic,Fevebeon,Liquid,Amritarista,AY-18-A-034,Ayurvedic
1102,Best One Ayurvedic,Levabeon,Liquid,Kalameghasav,AY-35-A-035,Ayurvedic
1103,Best One Ayurvedic,Tulsi-B,Liquid,Sage (Bhui Tulsi),AY-18-A-036,Ayurvedic
1104,Bexter (Ay) Laboratories,Binix,Tablet,Ginger,AY-18-A-037,Ayurvedic
1105,Bexter (Ay) Laboratories,Bilofort,Tablet,Ginkgo Biloba,AY-18-A-038,Ayurvedic
1106,Bexter (Ay) Laboratories,Prox-P,Tablet,Peppermint Oil,AY-18-A-039,Ayurvedic
1107,Bexter (Ay) Laboratories,Neoforte,Capsule,Makardhwaj Rasayan,AY-18-A-027,Ayurvedic
1108,Bexter (Ay) Laboratories,Rheubex,Syrup,Jogaraj Guggulu,AY-18-A-028,Ayurvedic
1109,Bexter (Ay) Laboratories,Seribex,Syrup,Saribadyarista,AY-18-A-029,Ayurvedic
1110,Bexter (Ay) Laboratories,Painbex,Oil (Liquid),Batrakhashi Taila,AY-18-A-030,Ayurvedic
1111,Bexter (Ay) Laboratories,Cox-Plus,Capsule,Nagendra Bati,AY-18-A-031,Ayurvedic
1112,Bexter (Ay) Laboratories,Acebex,Capsule,Lilabilas,AY-18-A-035,Ayurvedic
1113,Bexter (Ay) Laboratories,Manup,Tablet,Swalpa Chandrodaya Makardwaj,AY-18-A-036,Ayurvedic
1114,Bexter (Ay) Laboratories,X-50 Cap.,Capsule,Manmathavra Ras,AY-18-A-033,Ayurvedic
1115,Bexter (Ay) Laboratories,B-Cin Cap.,Capsule,Vat Gajendra Singha,AY-18-A-034,Ayurvedic
1116,Bexter (Ay) Laboratories,Expovine,Syrup,Maha Draksharista,AY-18-A-032,Ayurvedic
1117,Bexter (Ay) Laboratories,Cofbex,Syrup,Vasaka / Jastishia,AY-18-A-040,Ayurvedic
1118,Bexter (Ay) Laboratories,Leubex,Liquid,Patrangasav,AY-018-A-001,Ayurvedic
1119,Bexter (Ay) Laboratories,Zymbex,Liquid,Mustakarista,AY-018-A-002,Ayurvedic
1120,Bexter (Ay) Laboratories,Urobex,Liquid,Chandanasav,AY-018-A-003,Ayurvedic
1121,Bexter (Ay) Laboratories,Viabex-M,Liquid,Dasamularista,AY-018-A-004,Ayurvedic
1122,Bexter (Ay) Laboratories,Vigobex-XL,Tablet,Kamini Vidravan Ras,AY-018-A-005,Ayurvedic
1123,Bexter (Ay) Laboratories,V-Bex,Semi-Solid,Chyabanprash,AY-018-A-006,Ayurvedic
1124,Bexter (Ay) Laboratories,Vito Fort-N,Liquid,Sanjivani Rasayan,AY-018-A-007,Ayurvedic
1125,Bexter (Ay) Laboratories,Ado-Fast,Liquid,Vasakarista / Vasakasav,AY-018-A-008,Ayurvedic
1126,Bexter (Ay) Laboratories,Hormo-Bex,Liquid,Upasam,AY-018-A-009,Ayurvedic
1127,Bexter (Ay) Laboratories,Meghabex-N,Liquid,Kalameghasav,AY-018-A-010,Ayurvedic
1128,Bexter (Ay) Laboratories,X-Long,Capsule,Joubansatadal,AY-018-A-011,Ayurvedic
1129,Bexter (Ay) Laboratories,Cin-Bex,Liquid,Balarista,AY-018-A-012,Ayurvedic
1130,Bexter (Ay) Laboratories,Acne Cide,Oil (Liquid),Shri Gopal Taila,AY-018-A-013,Ayurvedic
1131,Bexter (Ay) Laboratories,Derma Cide,Ointment,Gandhakadi Malahar / Gandhak Malam,AY-018-A-014,Ayurvedic
1132,Bexter (Ay) Laboratories,Maca-X,Tablet,Sanjiban Bati,AY-018-A-015,Ayurvedic
1133,Bexter (Ay) Laboratories,Antabex,Liquid,Amalaki Rasayan,AY-018-A-016,Ayurvedic
1134,Bexter (Ay) Laboratories,Bexy-Vit,Liquid,Bhimras,AY-018-A-017,Ayurvedic
1135,Bexter (Ay) Laboratories,Tusk-Bex,Liquid,Draksharista,AY-018-A-018,Ayurvedic
1136,Bexter (Ay) Laboratories,Rolabex,Tablet,Brihat Bat Chintamani,AY-018-A-019,Ayurvedic
1137,Bexter (Ay) Laboratories,Vin-Bex,Liquid,Aravindasav,AY-018-A-020,Ayurvedic
1138,Bexter (Ay) Laboratories,Vitabex Plus,Tablet,Ratibilas Bati,AY-018-A-021,Ayurvedic
1139,Bexter (Ay) Laboratories,Ex-30,Tablet,Brihat Purnachandra Ras,AY-018-A-022,Ayurvedic
1140,Bexter (Ay) Laboratories,Powerbex,Tablet,Brihat Chandrodaya Makardwaja,AY-018-A-023,Ayurvedic
1141,Bexter (Ay) Laboratories,Vitarich,Capsule,Yarrow,AY-18-A-094,Ayurvedic
1142,Bexter (Ay) Laboratories,Oys Bone-3,Tablet,Wild Yam,AY-18-A-095,Ayurvedic
1143,Bexter (Ay) Laboratories,Ginko-B,Liquid,Ginkgo Biloba + Vinegar,AY-18-A-096,Ayurvedic
1144,Bexter (Ay) Laboratories,EPO Rose-500,Capsule,Evening Primrose Oil,AY-18-A-097,Ayurvedic
1145,Bexter (Ay) Laboratories,GBL-80,Capsule,Ginkgo Biloba,AY-18-A-098,Ayurvedic
1146,Bexter (Ay) Laboratories,Neuroway,Tablet,Caynei Compound + Ginger + Rubar Powder,AY-18-A-099,Ayurvedic
1147,Bexter (Ay) Laboratories,Asmagon,Tablet,Cherry Lorrel,AY-18-A-100,Ayurvedic
1148,Bexter (Ay) Laboratories,Giba-120,Tablet,Ginkgo Biloba 120 mg,AY-18-A-101,Ayurvedic
1149,Bexter (Ay) Laboratories,Respid 25,Tablet,Cawslip,AY-18-A-102,Ayurvedic
1150,Bexter (Ay) Laboratories,Soya Probex,Powder,Soy Lecithin,AY-18-1-103,Ayurvedic
1151,Bexter (Ay) Laboratories,Fibo Fort,Powder,Plantago Ovata,AY-18-A-041,Ayurvedic
1152,Bexter (Ay) Laboratories,Minsbex,Capsule,Chaste Tree,AY-18-A-042,Ayurvedic
1153,Bexter (Ay) Laboratories,Superbex-N,Capsule,Spirulina,AY-18-A-043,Ayurvedic
1154,Bexter (Ay) Laboratories,Him Oil,Oil (Liquid),Himsagar Taila,AY-18-A-044,Ayurvedic
1155,Bexter (Ay) Laboratories,X-Tong,Liquid,Hwema Bark Drink,AY-18-A-045,Ayurvedic
1156,Bexter (Ay) Laboratories,Menocare,Capsule,Black Cohosh,AY-18-A-046,Ayurvedic
1157,Bexter (Ay) Laboratories,B-Bone,Tablet,Catnip,AY-18-A-047,Ayurvedic
1158,Bexter (Ay) Laboratories,Bonfast-CD,Tablet,Soya Lecithin Vitamineral Mix,AY-18-A-048,Ayurvedic
1159,Bexter (Ay) Laboratories,Isolax,Powder,Ispaghula Husk,AY-18-A-050,Ayurvedic
1160,Bexter (Ay) Laboratories,Tri-ox,Capsule,Andrographis,AY-18-A-051,Ayurvedic
1161,Bexter (Ay) Laboratories,Bexter Chirata,Capsule,Chirata,AY-18-A-053,Ayurvedic
1162,Bexter (Ay) Laboratories,Neembex,Capsule,Neem,AY-18-A-054,Ayurvedic
1163,Bexter (Ay) Laboratories,Erekton,Capsule,Sotamul,AY-18-A-055,Ayurvedic
1164,Bexter (Ay) Laboratories,Bronkia,Tablet,Chamomila,AY-18-A-057,Ayurvedic
1165,Bexter (Ay) Laboratories,Garlibex,Tablet,Garlic,AY-18-A-058,Ayurvedic
1166,Bexter (Ay) Laboratories,Diafort,Tablet,Syzygium,AY-18-A-059,Ayurvedic
1167,Bexter (Ay) Laboratories,CDbex,Tablet,Water Cress,AY-18-A-060,Ayurvedic
1168,Bexter (Ay) Laboratories,Asmabex,Tablet,Wild Cherry,AY-18-A-061,Ayurvedic
1169,Bexter (Ay) Laboratories,Cardiobex,Capsule,Adonis,AY-18-A-049,Ayurvedic
1170,Bexter (Ay) Laboratories,Nigel-N,Capsule,Nigella,AY-18-A-052,Ayurvedic
1171,Bexter (Ay) Laboratories,NtoZ Gold,Tablet,Spirulina,AY-18-A-056,Ayurvedic
1172,Bexter (Ay) Laboratories,CD-3,Capsule,Vitex Negundo 500 mg,AY-18-A-062,Ayurvedic
1173,Bexter (Ay) Laboratories,Coralbex 500,Capsule,Vitex Negundo 250 mg,AY-18-A-063,Ayurvedic
1174,Bexter (Ay) Laboratories,Jonbex-N,Capsule,Hypericum Perforatum 450 mg,AY-18-A-064,Ayurvedic
1175,Bexter (Ay) Laboratories,Hepagain,Capsule,Milk Thistle 70 mg,AY-18-A-065,Ayurvedic
1176,Bexter (Ay) Laboratories,Milkbex,Tablet,Milk Thistle 150 mg,AY-18-A-066,Ayurvedic
1177,Bexter (Ay) Laboratories,Biolive-N,Tablet,Milk Thistle 140 mg,AY-18-A-067,Ayurvedic
1178,Bexter (Ay) Laboratories,Hepafort,Tablet,Milk Thistle 500 mg,AY-18-A-068,Ayurvedic
1179,Bexter (Ay) Laboratories,Uflow,Capsule,Saw Palmetto 160 mg,AY-18-A-069,Ayurvedic
1180,Bexter (Ay) Laboratories,Unor,Capsule,Saw Palmetto 250 mg,AY-18-A-070,Ayurvedic
1181,Bexter (Ay) Laboratories,Joinfort,Tablet,Colchicum 500 mg,AY-18-A-071,Ayurvedic
1182,Bexter (Ay) Laboratories,Ostilin-500,Capsule,Water Cress 500 mg,AY-18-A-072,Ayurvedic
1183,Bexter (Ay) Laboratories,Bio-Life,Capsule,Thankuni 500 mg,AY-18-A-073,Ayurvedic
1184,Bexter (Ay) Laboratories,VIP-Gold,Tablet,Thankuni 500 mg,AY-18-A-074,Ayurvedic
1185,Bexter (Ay) Laboratories,Biobiloba-60,Tablet,Ginkgo Biloba 260 mg,AY-18-A-075,Ayurvedic
1186,Bexter (Ay) Laboratories,Gibilo-125,Capsule,Ginkgo Biloba 500 mg,AY-18-A-076,Ayurvedic
1187,Bexter (Ay) Laboratories,Safe Joint,Capsule,Capsicum 500 mg,AY-18-A-077,Ayurvedic
1188,Bexter (Ay) Laboratories,EBon-Fort,Tablet,Capsicum 400 mg,AY-18-A-078,Ayurvedic
1189,Bexter (Ay) Laboratories,Clingurd,Cream,Spirulina 20 gm/100 gm,AY-18-A-079,Ayurvedic
1190,Bexter (Ay) Laboratories,Greenfort,Capsule,Spirulina 500 mg,AY-18-A-080,Ayurvedic
1191,Bexter (Ay) Laboratories,Spatone 500,Capsule,Spirulina 380 mg,AY-18-A-081,Ayurvedic
1192,Bexter (Ay) Laboratories,Immulin 500,Capsule,Spirulina 350 mg,AY-18-A-082,Ayurvedic
1193,Bexter (Ay) Laboratories,Livofort,Liquid,Rehmania 500 mg,AY-18-A-083,Ayurvedic
1194,Bexter (Ay) Laboratories,Dormibex,Tablet,Rauwolfia 100 mg,AY-18-A-084,Ayurvedic
1195,Bexter (Ay) Laboratories,Allpep-N,Liquid,Pipermint 2 gm/5 ml,AY-18-A-085,Ayurvedic
1196,Bexter (Ay) Laboratories,Longbex,Liquid,Hwema Drink 2 gm/100 ml,AY-18-A-086,Ayurvedic
1197,Bexter (Ay) Laboratories,Top-1,Tablet,Hwema Bark 400 mg,AY-18-A-087,Ayurvedic
1198,Bexter (Ay) Laboratories,X-Memory,Capsule,Ginkgo Biloba 120 mg,AY-18-A-088,Ayurvedic
1199,Bexter (Ay) Laboratories,Maxcal-CD,Tablet,Devil's Claw 520 mg,AY-18-A-089,Ayurvedic
1200,Bexter (Ay) Laboratories,Avocare,Ointment,Avocado 10 gm/100 gm,AY-18-A-090,Ayurvedic
1201,Bexter (Ay) Laboratories,Zymefort,Tablet,Aloe 345 mg,AY-18-A-091,Ayurvedic
1202,Bexter (Ay) Laboratories,Bexypep,Liquid,Yarrow 1.250 gm/5 ml,AY-18-A-092,Ayurvedic
1203,Bexter (Ay) Laboratories,Calcibex 500,Tablet,Winter Cherry 500 mg,AY-18-A-093,Ayurvedic
1204,Bexter (Ay) Laboratories,B-Dex 500,Tablet,Asparagus,AY-18-A-104,Ayurvedic
1205,Bexter (Ay) Laboratories,Osteon-D6,Capsule,Devil's Claw,AY-18-A-106,Ayurvedic
1206,Bexter (Ay) Laboratories,Glucobex,Capsule,Devil's Claw 520 mg,AY-18-A-107,Ayurvedic
1207,Bexter (Ay) Laboratories,Everseng,Capsule,Ginseng,AY-18-A-108,Ayurvedic
1208,Bexter (Ay) Laboratories,Vitalseng,Powder,Ginseng,AY-18-A-109,Ayurvedic
1209,Bexter (Ay) Laboratories,Teafit,Powder,Green Tea,AY-18-A-110,Ayurvedic
1210,Bexter (Ay) Laboratories,Relife-N,Capsule,Hawthorn,AY-18-A-111,Ayurvedic
1211,Bexter (Ay) Laboratories,Stayon,Capsule,Hwema Bark Drink,AY-18-A-112,Ayurvedic
1212,Bexter (Ay) Laboratories,Nidlax,Powder,Ispaghula Husk,AY-18-A-113,Ayurvedic
1213,Bexter (Ay) Laboratories,Laxacure,Powder,Isabgul Plane,AY-18-A-115,Ayurvedic
1214,Bexter (Ay) Laboratories,Exten,Capsule,Kava Kava,AY-8-A-116,Ayurvedic
1215,Bexter (Ay) Laboratories,GC-Max,Capsule,Scutellaria,AY-18-A-117,Ayurvedic
1216,Bexter (Ay) Laboratories,Biocare-N,Capsule,Strophanthus,AY-18-A-118,Ayurvedic
1217,Bexter (Ay) Laboratories,Vigo-B,Tablet,Ginseng,AY-18-A-024,Ayurvedic
1218,Bexter (Ay) Laboratories,Greenbex,Tablet,Green Tea,AY-18-A-026,Ayurvedic
1219,Bexter (Ay) Laboratories,Bexter-Gold,Tablet,Wild Carrot,AY-18-A-025,Ayurvedic
1220,Bikrampur Laboratories (Ay),Chandanasav,Liquid,Chandanasav,AY-60-A-001,Ayurvedic
1221,Bikrampur Laboratories (Ay),Vaniplex,Liquid,Sanjivani Rasayan,AY-60-A-003,Ayurvedic
1222,Bikrampur Laboratories (Ay),Amritarista,Liquid,Amritarista,AY-60-A-004,Ayurvedic
1223,Bikrampur Laboratories (Ay),Jirakadyarista,Liquid,Jirakadyarista / Jirakarista,AY-60-A-005,Ayurvedic
1224,Bikrampur Laboratories (Ay),Folibrang,Liquid,Parpatadyarista,AY-60-A-006,Ayurvedic
1225,Bikrampur Laboratories (Ay),Bicomil,Liquid,Ashokarista,AY-60-A-007,Ayurvedic
1226,Bikrampur Laboratories (Ay),Koflit,Liquid,Vasaka / Jastishia,AY-60-A-008,Ayurvedic
1227,Bikrampur Laboratories (Ay),Leucobex,Liquid,Patrangasav,AY-60-A-009,Ayurvedic
1228,Bikrampur Laboratories (Ay),Punarnavadyarista,Liquid,Punarnavadyarista,AY-60-A-010,Ayurvedic
1229,Bikrampur Laboratories (Ay),Dydimol,Liquid,Kutajarista,AY-60-A-011,Ayurvedic
1230,Bikrampur Laboratories (Ay),Bilocan,Liquid,Rohitakarista,AY-60-A-012,Ayurvedic
1231,Bikrampur Laboratories (Ay),Becovine,Liquid,Balarista,AY-60-A-013,Ayurvedic
1232,Bikrampur Laboratories (Ay),Becozin,Liquid,Mustakarista,AY-60-A-014,Ayurvedic
1233,Bikrampur Laboratories (Ay),Dasamularista,Liquid,Dasamularista,AY-60-A-015,Ayurvedic
1234,Bikrampur Laboratories (Ay),Becocid,Liquid,Amalaki Rasayan,AY-60-A-016,Ayurvedic
1235,Bikrampur Laboratories (Ay),B.L. Bandov Plus,Liquid,Saribadyasav,AY-60-A-017,Ayurvedic
1236,Bikrampur Laboratories (Ay),Jambadyarista,Liquid,Jambadyarista,AY-60-A-018,Ayurvedic
1237,Bikrampur Laboratories (Ay),Sukrasanjibani,Semi-Solid,Sukrasanjibani Modak,AY-60-A-019,Ayurvedic
1238,Bikrampur Laboratories (Ay),Binoplex,Liquid,Aswagandharista,AY-60-A-020,Ayurvedic
1239,Bikrampur Laboratories (Ay),Brain Cure,Liquid,BrahmiRasayan / Sarswatarista,AY-60-A-021,Ayurvedic
1240,Bikrampur Laboratories (Ay),Maha Draksharista,Liquid,Maha Draksharista,AY-60-A-022,Ayurvedic
1241,Bikrampur Laboratories (Ay),Batari,Liquid,Batari,AY-60-A-023,Ayurvedic
1242,Bikrampur Laboratories (Ay),Arjunarista,Liquid,Arjunarista,AY-60-A-024,Ayurvedic
1243,Bikrampur Laboratories (Ay),Saribadi,Liquid,Saribadi,AY60-A-025,Ayurvedic
1244,Bikrampur Laboratories (Ay),Beconid,Tablet,Dhatri Louha,AY-60-A-026,Ayurvedic
1245,Bikrampur Laboratories (Ay),Bibrex,Tablet,Arogya Vardhani,AY-60-A-027,Ayurvedic
1246,Bikrampur Laboratories (Ay),Becomol,Tablet,Brihat Sarvajwar Har Louha,AY-60-A-028,Ayurvedic
1247,Bikrampur Laboratories (Ay),Becovit,Tablet,Basanta Kusumakar Ras,AY-60-A-029,Ayurvedic
1248,Bikrampur Laboratories (Ay),Leucol,Tablet,Pradarari Ras,AY-60-A-030,Ayurvedic
1249,Bikrampur Laboratories (Ay),BV-Cal,Tablet,Makardhwaj Rasayan,AY-60-A-031,Ayurvedic
1250,Bikrampur Laboratories (Ay),Saribadyarista,Liquid,Saribadyarista,AY-60-A-032,Ayurvedic
1251,Bikrampur Laboratories (Ay),Chyabanprash,Semi-Solid,Chyabanprash,AY-60-A-034,Ayurvedic
1252,Bikrampur Laboratories (Ay),BG Gold,Tablet,Kamini Vidravan Ras,AY-60-A-036,Ayurvedic
1253,Bikrampur Laboratories (Ay),Naradiya Mahalaskmi Bilas,Tablet,Naradiya Mahalaskmi Bilas,AY-60-A-037,Ayurvedic
1254,Bikrampur Laboratories (Ay),Dashan Churna,Powder,Dashan Sanskar Churna,AY-60-A-038,Ayurvedic
1255,Bikrampur Laboratories (Ay),Vaskar Lavan,Tablet,Vaskar Lavan,AY-60-A-039,Ayurvedic
1256,Bikrampur Laboratories (Ay),Himgold,Capsule,Brihat Purnachandra Ras,AY-60-A-040,Ayurvedic
1257,Bikrampur Laboratories (Ay),Onex-18,Capsule,Ratibilas Bati,AY-60-A-041,Ayurvedic
1258,Bikrampur Laboratories (Ay),Promicap,Capsule,Amlapittantak Churna,AY-60-A-042,Ayurvedic
1259,Bikrampur Laboratories (Ay),Beumacin,Capsule,Brihat Vat Gajangkush,AY-60-A-043,Ayurvedic
1260,Bikrampur Laboratories (Ay),Coflit,Capsule,Swasbhairab,AY-60-A-044,Ayurvedic
1261,Biocare Ayurvedic,Liv-Aid,Liquid,Kalameghasav,AY-218-A-001,Ayurvedic
1262,Biocare Ayurvedic,DD-Cure,Liquid,Mustakarista,AY-218-A-002,Ayurvedic
1263,Biocare Ayurvedic,Bio-Kut,Liquid,Kutajarista,AY-218-A-003,Ayurvedic
1264,Biocare Ayurvedic,Bio-Liv,Liquid,Rohitakarista,AY-218-A-004,Ayurvedic
1265,Biocare Ayurvedic,Terjuna,Liquid,Arjunarista,AY-218-A-005,Ayurvedic
1266,Biocare Ayurvedic,Uto-Fort,Liquid,Ashokarista,AY-218-A-006,Ayurvedic
1267,Biocare Ayurvedic,Hemo-Care,Liquid,Saribadyarista,AY-218-A-007,Ayurvedic
1268,Biocare Ayurvedic,Bio-Carmi,Liquid,Abhayarista,AY-218-A-008,Ayurvedic
1269,Biocare Ayurvedic,Bio-Root,Liquid,Dasamularista,AY-218-A-009,Ayurvedic
1270,Biocare Ayurvedic,Narish,Liquid,Balarista,AY-218-A-010,Ayurvedic
1271,Biocare Ayurvedic,Bio-Rise,Liquid,Aswagandharista,AY-218-A-011,Ayurvedic
1272,Biocare Ayurvedic,Bio-Sandal,Liquid,Chandanasav,AY-218-A-012,Ayurvedic
1273,Biocare Ayurvedic,Bio-Bashak,Liquid,Vasakarista / Vasakasav,AY-218-A-013,Ayurvedic
1274,Biocare Ayurvedic,Bio-Bil,Capsule,Ginkgo Biloba 120 mg,AY-218-A-014,Ayurvedic
1275,Biocare Ayurvedic,Nutis,Tablet,Ashwagandha,AY-218-A-015,Ayurvedic
